# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1684632755,0,-0.172413796,1.004831553,0,0,0,0
1,1684632755,3200,-0.172413796,1.004831553,0,0,0.15646258,1.00115931
2,1684632755,6400,-0.172413796,1.004831553,0.159999996,1.002202272,0.15646258,1.00115931
3,1684632769,9600,-0.391576052,0.968686521,0.159999996,1.002202272,0.15646258,1.00115931
4,1684632769,12800,-0.391576052,0.968686521,0.159999996,1.002202272,0.391564608,0.945853651
# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1684633172,0,0,0,0,0,0.588652492,1.004482865
1,1684633172,3200,-0.588652492,1.022600532,0,0,0.588652492,1.004482865
2,1684633172,6400,-0.588652492,1.022600532,0.583333313,1.010295987,0.588652492,1.004482865
3,1684633189,9600,-0.702220976,0.929699898,0.583333313,1.010295987,0.588652492,1.004482865
4,1684633189,12800,-0.702220976,0.929699898,0.583333313,1.010295987,0.704003692,0.900663078
5,1684633190,16000,-0.702220976,0.929699898,0.702494681,0.922815382,0.704003692,0.900663078
