# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1684552277,0,-0.452229321,2.24298954,0,0,0,0
1,1684552277,3200,-0.452229321,2.24298954,0,0,0.431250006,2.280400038
2,1684552277,6400,-0.452229321,2.24298954,0.439024389,2.245859146,0.431250006,2.280400038
3,1684552285,9600,-0.807814002,2.168062925,0.439024389,2.245859146,0.431250006,2.280400038
4,1684552285,12800,-0.807814002,2.168062925,0.439024389,2.245859146,0.816274345,2.31393981
5,1684552285,16000,-0.807814002,2.168062925,0.829575062,2.154911041,0.816274345,2.31393981
6,1684552294,19200,-0.985512435,1.849470019,0.829575062,2.154911041,0.816274345,2.31393981
7,1684552294,22400,-0.985512435,1.849470019,0.829575062,2.154911041,0.992393851,2.040766478
8,1684552295,25600,-0.985512435,1.849470019,0.996273518,1.911481142,0.992393851,2.040766478
9,1684552302,28800,-1.072048903,0.950122952,0.996273518,1.911481142,0.992393851,2.040766478
10,1684552303,32000,-1.072048903,0.950122952,0.996273518,1.911481142,1.077209949,1.291619658
11,1684552303,35200,-1.072048903,0.950122952,1.08822453,1.315109253,1.077209949,1.291619658
12,1684552310,38400,-1.130942225,0.636264622,1.08822453,1.315109253,1.077209949,1.291619658
13,1684552311,41600,-1.130942225,0.636264622,1.08822453,1.315109253,1.134166121,0.635585248
14,1684552312,44800,-1.130942225,0.636264622,1.140366912,0.501551509,1.134166121,0.635585248
15,1684552319,48000,-1.162481189,0.69811523,1.140366912,0.501551509,1.134166121,0.635585248
16,1684552319,51200,-1.162481189,0.69811523,1.140366912,0.501551509,1.1658988,0.930736065
17,1684552321,54400,-1.162481189,0.69811523,1.167392612,0.748396158,1.1658988,0.930736065
18,1684552327,57600,-1.178879976,0.339398533,1.167392612,0.748396158,1.1658988,0.930736065
19,1684552328,60800,-1.178879976,0.339398533,1.167392612,0.748396158,1.17972362,0.65760392
